Age,M,F
0-4,1864213,1769473
5-9,1853314,1761626
10-14,1884000,1792843
15-19,1980986,1888497
20-24,2363759,2260919
25-29,2625910,2522126
30-34,2561030,2463342
35-39,2277452,2180619
40-44,2339469,2226615
45-49,2401854,2343505
50-54,2254227,2302149
55-59,2212954,2294962
60-64,1994597,2067185
65-69,2033365,2154474
70-74,1918731,2179935
75-79,1617674,1893542
80-84,1192746,1462602
85-89,719275,983697
90-94,353558,536021
95-99,70938,142971
100+,7519,19940
