Age,M,F
0-4,283617,255289
5-9,324680,291341
10-14,337317,303866
15-19,337434,304865
20-24,323138,295416
25-29,339072,315841
30-34,377134,360994
35-39,486047,470670
40-44,547576,533145
45-49,498043,484856
50-54,578273,565841
55-59,725117,718727
60-64,745172,757527
65-69,693414,741850
70-74,736367,873543
75-79,681697,877514
80-84,478393,685096
85-89,347993,558697
90-94,196460,375300
95-99,69859,167088
100+,13034,40587
