Age,M,F
0-4,1853935,1759151
5-9,1961024,1861814
10-14,1997247,1897432
15-19,1988723,1892391
20-24,2143352,2051135
25-29,2252537,2161785
30-34,2294949,2204581
35-39,2459952,2362300
40-44,2598804,2504732
45-49,2519255,2435801
50-54,2233575,2154522
55-59,2277576,2189785
60-64,2305600,2281494
65-69,2114277,2204415
70-74,1997277,2137775
75-79,1679512,1829245
80-84,1488925,1706704
85-89,1065754,1378240
90-94,512345,745802
95-99,132992,232816
100+,15316,36201
