Age,M,F
0-4,1923249,1824910
5-9,1972140,1872877
10-14,1936787,1840691
15-19,1937152,1844742
20-24,2149280,2058297
25-29,2303797,2212327
30-34,2478803,2378536
35-39,2615652,2517175
40-44,2536665,2447079
45-49,2252457,2166231
50-54,2304889,2207280
55-59,2350140,2311482
60-64,2178968,2250594
65-69,2094358,2210915
70-74,1827875,1946488
75-79,1748642,1932275
80-84,1456627,1773214
85-89,960799,1258178
90-94,433908,638699
95-99,106795,197322
100+,13771,32604
