Age,M,F
0-4,249861,223791
5-9,293104,261793
10-14,326441,293332
15-19,338474,304579
20-24,338234,304995
25-29,322949,297673
30-34,338776,322771
35-39,377981,368492
40-44,485883,473980
45-49,544212,533233
50-54,491815,483512
55-59,565830,562247
60-64,702369,711526
65-69,710796,746148
70-74,642345,718406
75-79,653198,825996
80-84,559795,793164
85-89,345496,562432
90-94,204477,388509
95-99,83518,195071
100+,18704,55162
