Age,M,F
0-4,1802390,1711480
5-9,1850158,1759488
10-14,1922418,1830018
15-19,2146487,2042773
20-24,2497277,2392062
25-29,2544365,2444303
30-34,2278931,2178777
35-39,2346036,2227857
40-44,2415099,2349101
45-49,2274134,2313309
50-54,2244421,2315375
55-59,2042141,2098966
60-64,2115066,2211624
65-69,2043572,2276570
70-74,1808789,2050463
75-79,1462697,1703780
80-84,1052997,1328656
85-89,729129,971171
90-94,255369,421239
95-99,57857,117253
100+,5941,17266
