Age,M,F
0-4,1930909,1832494
5-9,1909364,1813807
10-14,1883341,1791138
15-19,1939734,1848419
20-24,2193604,2101638
25-29,2481329,2379445
30-34,2630870,2529219
35-39,2551037,2456764
40-44,2267206,2174955
45-49,2325064,2219168
50-54,2380357,2331076
55-59,2224181,2282191
60-64,2164415,2261171
65-69,1924904,2018451
70-74,1919978,2069733
75-79,1732769,2024674
80-84,1340547,1643004
85-89,836545,1102332
90-94,361173,556746
95-99,100577,184525
100+,9639,25153
