Age,M,F
0-4,312057,288990
5-9,337040,312705
10-14,377568,351413
15-19,488524,455918
20-24,551698,516068
25-29,504399,467030
30-34,594708,557552
35-39,765593,725433
40-44,813036,776277
45-49,789840,773062
50-54,900411,942787
55-59,925731,1002062
60-64,779900,869141
65-69,770715,871267
70-74,719542,850962
75-79,582208,737935
80-84,406281,569098
85-89,182127,287799
90-94,64372,122373
95-99,19366,46815
100+,2707,7799
