Age,M,F
0-4,326120,296838
5-9,334742,303795
10-14,321275,294572
15-19,338779,313219
20-24,378218,352212
25-29,486775,457545
30-34,548414,523360
35-39,502450,480691
40-44,591448,567612
45-49,754034,726861
50-54,790046,771525
55-59,754886,763315
60-64,842489,922278
65-69,841662,968012
70-74,672320,815673
75-79,609392,776399
80-84,492938,694073
85-89,314072,505644
90-94,147453,282845
95-99,35053,84323
100+,4146,13567
