Age,M,F
0-4,314947,285098
5-9,335627,302633
10-14,336296,304262
15-19,322343,295088
20-24,339378,313645
25-29,377650,354261
30-34,485684,463753
35-39,548279,530066
40-44,501513,484296
45-49,586491,567762
50-54,742254,723832
55-59,770630,765848
60-64,728643,754349
65-69,798963,905083
70-74,772827,931876
75-79,588806,764151
80-84,489728,690087
85-89,344202,553442
90-94,173695,334231
95-99,55113,134939
100+,7377,23937
