Age,M,F
0-4,325811,298341
5-9,319906,294471
10-14,337959,312743
15-19,377988,351802
20-24,487979,456008
25-29,549979,517350
30-34,502775,473518
35-39,593490,564366
40-44,761629,727697
45-49,803777,774978
50-54,775136,769312
55-59,874949,934417
60-64,889653,987984
65-69,735591,849995
70-74,701015,833293
75-79,620580,788207
80-84,457230,643731
85-89,274246,439780
90-94,96786,182403
95-99,21942,52840
100+,3609,11476
